name,age,married,working,past_deliveries,delivery_time
Jacob Rajan,40,Yes,No,4,11-12
Anthony Pau,26,No,Yes,4,4-5
Brinda Panchal,59,Yes,Yes,4,12-1
Isaac Sarraf,51,Yes,No,5,11-12
Nitara Varkey,48,Yes,No,4,9-10
Panini Sastry,34,No,No,4,1-2
Siya Rastogi,49,No,Yes,5,3-4
Nisha Chakraborty,25,No,Yes,0,3-4
Keya Chaudhuri,62,No,Yes,5,3-4
Ojasvi Balakrishnan,21,No,Yes,4,1-2
Balveer Bains,32,No,Yes,4,2-3
Daksha Majumdar,48,Yes,Yes,4,10-11
Nihal Gole,43,No,Yes,1,3-4
Bhavika Thakur,54,Yes,No,5,10-11
Ansh Gupta,33,Yes,No,4,11-12
Zinal Nagy,23,No,Yes,5,11-12
Yahvi Buch,52,Yes,Yes,5,10-11
Tarak Sodhi,43,Yes,No,1,3-4
Fariq Tak,54,No,Yes,2,3-4
Laksh More,31,Yes,Yes,3,1-2
Tanay Lalla,34,Yes,Yes,4,9-10
Ishita Kade,42,Yes,No,5,4-5
Chasmum Aurora,18,No,Yes,0,1-2
Kamala Dhar,61,No,Yes,5,10-11
Tejas Sur,70,Yes,No,5,11-12
Varenya Mammen,34,No,No,5,9-10
Noah Kamdar,53,Yes,Yes,0,2-3
Turvi Patil,20,Yes,No,5,12-1
Chasmum Din,36,Yes,No,4,3-4
Samesh Rastogi,54,No,Yes,4,2-3
Luke Swamy,56,No,No,5,10-11
Daniel Narayanan,37,Yes,No,5,12-1
Samuel Nayar,61,No,No,2,11-12
Idika Goel,50,No,Yes,4,12-1
Balhaar Kapoor,59,No,No,5,2-3
Zarna Lalla,22,Yes,Yes,3,9-10
Finn Dalal,68,No,No,0,9-10
Teerth Kapur,55,No,Yes,5,12-1
Siddharth Sankar,28,Yes,Yes,2,10-11
Aradhana Sani,37,Yes,Yes,4,11-12
Chaitanya Lata,39,No,No,2,4-5
Leena Parikh,47,No,No,4,11-12
Barkha Palla,53,No,No,5,10-11
Bhavani Sachdeva,34,Yes,No,5,4-5
Chandran Bhandari,66,Yes,No,5,12-1
Barkha Dewan,54,No,Yes,2,4-5
Lila Chacko,21,No,Yes,5,1-2
Timothy Apte,60,No,Yes,3,9-10
Aryan Jaggi,36,No,No,3,12-1
Ishanvi Narasimhan,35,No,No,2,11-12
Henry Chaudry,25,No,Yes,5,1-2
Gaurang Hegde,67,Yes,No,4,1-2
Sneha Rana,21,No,No,2,12-1
Mugdha Grover,42,Yes,Yes,3,2-3
Kritika Baria,22,Yes,Yes,4,2-3
Jhalak Mand,46,No,Yes,5,2-3
Turvi Vyas,67,No,No,5,4-5
Vritti Vora,26,Yes,Yes,5,2-3
Anmol Yadav,38,No,Yes,0,2-3
Mahika Kothari,18,No,Yes,4,11-12
Bhavani Aurora,23,No,No,4,4-5
Oliver Rattan,47,Yes,Yes,5,4-5
Yashica Salvi,32,Yes,No,5,10-11
Vrishti Bose,52,Yes,No,4,1-2
Ekbal Dyal,35,Yes,No,5,2-3
Advay Narang,19,Yes,Yes,3,10-11
Henry Subramaniam,52,No,Yes,5,10-11
Jason Ratti,66,No,No,5,9-10
Leena Palan,35,Yes,No,4,12-1
Veer Mody,51,No,Yes,3,12-1
Leena Devi,28,No,Yes,5,2-3
Ishanvi Chahal,38,Yes,Yes,2,3-4
Jagat Grover,49,Yes,Yes,5,11-12
Rudra Subramanian,56,No,No,3,12-1
Siddharth Rana,65,No,No,5,10-11
Manan Tak,36,No,Yes,4,1-2
Daksh Minhas,26,No,Yes,3,10-11
Harsh Sagar,28,No,No,3,3-4
Leela Lad,55,No,No,2,2-3
Reyansh Batra,25,Yes,No,2,10-11
Nilima Ramanathan,39,No,Yes,2,2-3
Vasudha Gour,29,Yes,No,5,2-3
Oliver Chaudry,44,Yes,Yes,0,11-12
Aadhya Sundaram,55,Yes,Yes,5,4-5
Amaira Roy,23,No,Yes,4,11-12
Harsh Sagar,28,No,No,3,3-4
Omisha Sanghvi,61,Yes,Yes,4,2-3
Saanvi Parekh,38,No,No,2,3-4
Logan Shanker,65,Yes,No,1,3-4
Ojas Ramanathan,55,No,No,0,10-11
Girik Randhawa,62,Yes,Yes,3,4-5
Yasti Doctor,41,No,Yes,5,2-3
Nitara Varkey,48,Yes,No,4,9-10
Omya Raja,59,Yes,Yes,5,12-1
Balvan Walla,43,No,No,4,3-4
Jyoti Khurana,48,No,No,2,3-4
Wakeeta Merchant,44,Yes,Yes,3,1-2
Nitara Lalla,64,No,Yes,5,4-5
Yashawini Jain,52,No,No,2,9-10
Faqid Agate,65,Yes,No,0,1-2
Harita Shankar,24,Yes,No,3,10-11
Zehaan Sule,27,No,No,2,4-5
Charan D’Alia,64,No,Yes,5,10-11
Tanay Lalla,34,Yes,Yes,4,9-10
Dominic Kamdar,44,No,Yes,3,1-2
Zayan Badal,36,Yes,No,5,3-4
Panini Thaker,69,Yes,Yes,2,4-5
Chandran Magar,32,Yes,Yes,4,3-4
Andrew Dutta,27,No,No,3,10-11
Samarth Sen,55,No,Yes,3,2-3
Vinaya Bansal,67,No,Yes,0,1-2
Maya Ratta,64,No,Yes,2,3-4
Veda Palan,26,Yes,Yes,4,9-10
Tanvi Dhaliwal,68,No,Yes,0,2-3
Aachal Taneja,18,No,No,4,4-5
Alexander Sagar,20,Yes,No,4,9-10
Hemangini Balasubramanian,31,Yes,No,0,11-12
Veer Deo,23,No,Yes,3,2-3
Saumya Saha,51,No,No,4,1-2
Jackson Andra,45,No,Yes,3,12-1
Logan Mukhopadhyay,33,No,Yes,5,2-3
Yamini Suri,55,Yes,No,1,9-10
Oliver Rattan,47,Yes,Yes,5,4-5
Ati Bobal,32,Yes,No,0,11-12
Nisha Pingle,62,No,No,0,12-1
Samuel Ramanathan,44,No,No,4,9-10
Yashica Prakash,20,Yes,No,0,10-11
Omya Raja,59,Yes,Yes,5,12-1
Nihal Ganesh,36,No,Yes,5,11-12
Mugdha Jayaraman,28,Yes,No,4,1-2
Ria Kala,61,No,Yes,5,12-1
Yashasvi Devi,64,No,Yes,4,11-12
Omkaar Sandal,46,No,Yes,4,2-3
Faras Badal,46,No,No,0,4-5
Yashvi Mukherjee,50,No,Yes,4,9-10
Luke Zachariah,66,No,No,3,1-2
Advik Roy,22,Yes,Yes,0,12-1
Chameli Dey,25,No,No,2,1-2
Vincent Rajan,40,Yes,No,5,4-5
Ekiya Mammen,49,Yes,Yes,3,4-5
Frado Chaudhuri,65,Yes,Yes,4,12-1
Viraj Goel,53,No,No,2,1-2
Lajita Chada,20,No,No,5,12-1
Prisha Saxena,37,No,Yes,2,1-2
Aarush Saha,20,Yes,No,5,11-12
Chaitanya Bajaj,66,No,Yes,5,11-12
Turvi Patil,20,Yes,No,5,12-1
Lakshit Dayal,28,No,No,4,12-1
Omya Sen,30,Yes,Yes,4,9-10
Thomas Krishnan,20,Yes,No,3,12-1
Sara Kale,63,No,Yes,1,10-11
Dalaja Nayar,51,Yes,No,5,4-5
Reyansh Rajagopalan,58,Yes,Yes,5,10-11
Chandran Jhaveri,29,Yes,No,3,11-12
Ekanta Bose,27,No,No,4,11-12
Reva Goda,25,No,No,3,9-10
Xavier Joshi,27,No,No,4,2-3
Vedant Kala,46,Yes,No,0,1-2
Saksham Dara,45,Yes,No,4,12-1
Umang Bala,62,Yes,Yes,1,11-12
Nidhi Lall,60,Yes,Yes,5,1-2
Balhaar Thaker,32,Yes,Yes,4,3-4
Zansi Warrior,41,No,No,5,2-3
Samarth Bera,21,No,No,3,2-3
Om Kashyap,38,Yes,Yes,2,9-10
Vaishnavi Chowdhury,48,No,Yes,5,2-3
Anirudh Kakar,22,Yes,No,5,11-12
Bhavika Kurian,62,Yes,Yes,0,10-11
Divya Venkataraman,51,Yes,No,2,4-5
Inaya Kade,70,Yes,Yes,4,4-5
Aarush Seshadri,39,No,Yes,3,12-1
Ijaya Sahota,50,No,Yes,4,12-1
Bishakha Bhandari,57,Yes,Yes,3,12-1
Vanya Sampath,60,Yes,Yes,3,9-10
Fiyaz Shetty,49,No,No,4,4-5
Damyanti Sibal,25,No,Yes,4,1-2
Krisha Lala,34,Yes,Yes,5,10-11
Ira Suri,63,Yes,No,5,11-12
Sachi Gopal,27,Yes,No,5,11-12
Sai Kara,61,Yes,No,5,3-4
Reva Lal,44,Yes,Yes,2,10-11
Laksh Suri,60,No,No,5,11-12
Nathan Varughese,53,Yes,No,5,9-10
Varenya Mane,48,Yes,No,5,2-3
Triveni Loyal,60,Yes,Yes,5,1-2
Patrick Banerjee,67,No,No,3,2-3
Fitan Bhattacharyya,51,No,No,2,12-1
Rayaan Chopra,67,No,Yes,5,10-11
Ira Sani,44,No,No,3,2-3
Samesh Rastogi,54,No,Yes,4,2-3
Zayan Kurian,48,No,Yes,5,9-10
Barkha Palla,53,No,No,5,10-11
Abdul Chad,38,Yes,No,4,4-5
Gaurangi Bhatnagar,46,No,Yes,3,9-10
Jagat Grover,49,Yes,Yes,5,11-12
Chasmum Din,36,Yes,No,4,3-4
Azad Doshi,31,No,Yes,5,10-11
Vamakshi Rastogi,65,Yes,No,4,10-11
Upkaar Raman,26,Yes,No,1,2-3
Vidhi Madan,69,No,No,4,1-2
Ekalinga Dubey,29,Yes,No,4,2-3
Mekhala Tripathi,25,Yes,No,4,10-11
Faris Narayanan,55,No,No,5,11-12
Bhavya Khosla,64,No,No,5,12-1
Siya Rastogi,49,No,Yes,5,3-4
Hamsini Borde,60,Yes,Yes,5,12-1
Vansha Lala,35,No,Yes,4,2-3
Falguni Shroff,66,No,Yes,5,10-11
Kevin Chakraborty,53,Yes,Yes,4,12-1
Aahana Date,57,No,No,4,3-4
Christopher Nayak,68,No,Yes,4,2-3
Udarsh Purohit,25,Yes,No,5,1-2
Rayaan Sanghvi,30,No,Yes,1,11-12
Panini Ahuja,32,No,No,4,9-10
Pranit Gupta,64,No,Yes,2,11-12
Hardik Bhakta,35,No,No,5,4-5
Vidhi Bath,26,Yes,Yes,4,1-2
Aachal Maharaj,54,No,No,2,11-12
Aayush Patla,23,No,Yes,1,2-3
Vidhi Parsa,66,Yes,No,4,10-11
Yug Dar,47,No,No,5,2-3
Balvan Walla,43,No,No,4,3-4
Lekha Mand,57,Yes,No,3,2-3
Falan Shah,26,Yes,Yes,4,11-12
Zinal Dayal,36,No,No,5,9-10
Kavya Dayal,18,Yes,Yes,3,10-11
Dakshesh Mittal,43,Yes,No,3,2-3
Keya Chaudhuri,62,No,Yes,5,3-4
Balendra Venkataraman,36,No,Yes,1,1-2
Pallavi Sunder,31,No,Yes,4,1-2
Aahana Mohanty,48,No,Yes,4,4-5
Hemani Thakur,30,No,No,3,4-5
Forum Bava,60,Yes,No,1,10-11
Adya Karpe,37,Yes,No,3,9-10
Amaira Roy,23,No,Yes,4,11-12
Vaishnavi Gour,39,No,Yes,4,1-2
Suhani Konda,36,No,Yes,4,4-5
Luke Swamy,56,No,No,5,10-11
Rachit Randhawa,62,Yes,No,5,12-1
Chandran Bhandari,66,Yes,No,5,12-1
Irya Deol,50,No,Yes,4,4-5
Amruta Chowdhury,64,No,No,1,9-10
Gaurangi Dalal,61,No,No,4,4-5
Leela Sidhu,21,No,Yes,3,11-12
Henry Palla,47,Yes,No,4,1-2
Gunbir Iyengar,34,No,No,2,4-5
Lavanya Choudhry,20,No,No,1,2-3
Tarak Tailor,19,No,No,4,11-12
Zansi Nayar,63,No,No,1,11-12
Baghyawati Dar,40,No,Yes,5,3-4
George Hegde,46,Yes,Yes,3,3-4
Nathan Kant,56,No,No,1,11-12
Bhavya Jain,20,Yes,No,5,1-2
Eta Lad,32,No,No,2,12-1
Siya Rastogi,49,No,Yes,5,3-4
Fariq Joshi,52,Yes,No,3,9-10
Shivansh Patel,42,Yes,No,4,12-1
Falan Palan,38,No,Yes,5,1-2
Omya Sen,30,Yes,Yes,4,9-10
Arya Dalal,54,Yes,Yes,4,11-12
Mitali Buch,67,No,No,5,3-4
Onveer Parmar,36,Yes,Yes,5,10-11
Mitali Batra,50,Yes,No,3,1-2
Ekantika Mane,37,No,No,2,10-11
Shivani Barad,68,No,No,5,11-12
Samaksh Bhasin,39,No,No,1,12-1
Alexander Sarkar,34,No,Yes,4,12-1
Wridesh Lall,70,Yes,Yes,5,2-3
Varenya Mane,48,Yes,No,5,2-3
Ranbir Babu,18,Yes,Yes,4,12-1
Neha Agrawal,18,Yes,Yes,5,9-10
Charles Sani,43,Yes,No,4,12-1
Farhan Dave,26,Yes,Yes,3,1-2
Charles Sani,43,Yes,No,4,12-1
Kala Edwin,44,Yes,Yes,2,12-1
Megha Sharma,69,Yes,Yes,4,12-1
Mugdha Varma,43,No,Yes,1,4-5
Lohit Sami,19,Yes,No,4,10-11
Gopal Deol,19,Yes,Yes,0,2-3
Daniel Pandey,18,No,No,5,2-3
Kavya Dua,56,No,Yes,2,11-12
Faqid Kar,61,Yes,No,4,1-2
Arin Soni,60,Yes,Yes,3,4-5
Raagini Comar,54,Yes,Yes,3,4-5
Aadi Prabhakar,48,Yes,No,4,11-12
Rishi Deol,23,Yes,No,2,11-12
George Sankaran,70,No,Yes,4,1-2
Tarak Tailor,19,No,No,4,11-12
Chatura Samra,41,Yes,Yes,2,2-3
Onveer Parmar,36,Yes,Yes,5,10-11
Imaran Ramachandran,34,Yes,No,5,4-5
Chatura Samra,41,Yes,Yes,2,2-3
Jai Dhar,31,Yes,No,3,10-11
Daniel Datta,21,Yes,Yes,2,4-5
Triya Dora,65,Yes,Yes,3,3-4
Samesh Deep,69,Yes,Yes,5,12-1
Upma Sane,46,Yes,No,5,11-12
Reyansh Rajagopalan,58,Yes,Yes,5,10-11
Mekhala Varghese,47,Yes,Yes,5,4-5
Gaurav Srinivasan,53,Yes,Yes,4,12-1
Girindra Nadkarni,21,Yes,Yes,3,12-1
Arjun Lal,41,Yes,Yes,2,10-11
Tanveer Salvi,36,Yes,Yes,4,3-4
Omaja Loke,36,Yes,Yes,5,1-2
Tejas Mann,46,Yes,Yes,2,1-2
Nidhi Sanghvi,63,Yes,Yes,3,4-5
Rohan Mishra,23,Yes,Yes,4,10-11
Sai Pandit,47,Yes,Yes,4,1-2
Max Lalla,33,No,Yes,5,11-12
Timothy Dash,49,Yes,Yes,5,2-3
Bakhshi Chand,43,Yes,No,3,12-1
Rushil Sharma,55,Yes,No,5,10-11
Kamala Dar,21,Yes,Yes,0,10-11
Tanvi Dugar,58,Yes,No,3,11-12
Gopal Chacko,69,Yes,Yes,4,9-10
Vedika Mann,68,Yes,Yes,4,4-5
Saumya Jha,26,Yes,Yes,2,10-11
Imaran Prashad,24,No,No,0,11-12
Atharv Sunder,56,No,No,3,1-2
Ria Dugar,43,Yes,No,5,3-4
Girindra Nadkarni,21,Yes,Yes,3,12-1
Hamsini Chakraborty,53,No,Yes,1,4-5
Manan Tak,36,No,Yes,4,1-2
Gavin Sood,58,No,No,5,3-4
Wahab Prakash,52,No,No,5,3-4
Jeet Kale,61,No,No,4,9-10
Balhaar Bhavsar,63,Yes,Yes,4,4-5
Madhav Chada,47,No,Yes,3,10-11
Gaurang Issac,26,Yes,No,4,12-1
Eta Lad,32,No,No,2,12-1
Yashodhara Deo,36,Yes,Yes,0,4-5
Patrick Ganguly,40,No,Yes,1,11-12
Girish Bail,52,Yes,No,5,12-1
Sachi Kapoor,54,Yes,Yes,5,9-10
Noah Krishna,52,Yes,Yes,4,12-1
Pratyush Pingle,59,Yes,No,4,9-10
Bimala Walia,60,No,No,4,4-5
Arunima Sampath,55,No,Yes,3,3-4
Dalbir Nori,43,Yes,Yes,5,1-2
Kamala Sridhar,35,No,No,2,9-10
Bhavani Aurora,23,No,No,4,4-5
Lopa Butala,68,No,Yes,3,10-11
Nisha Muni,69,No,Yes,3,11-12
Rudra Mallick,33,Yes,Yes,5,1-2
Xavier Hayer,23,Yes,Yes,4,11-12
Qasim Brahmbhatt,28,No,No,0,1-2
Edhitha Chowdhury,52,No,No,5,1-2
Guneet Sura,43,Yes,Yes,4,1-2
Advay Merchant,53,No,No,4,3-4
Aadi Prabhakar,48,Yes,No,4,11-12
Chakradhar Bal,70,Yes,No,5,4-5
Indali Mohan,44,No,Yes,4,2-3
Anita Bera,32,Yes,Yes,4,10-11
Samuel Ramanathan,44,No,No,4,9-10
Banjeet Murthy,25,No,No,4,12-1
Ekaraj Kalla,54,Yes,Yes,3,11-12
Chakradev Konda,49,No,No,4,3-4
Vincent Mittal,21,Yes,Yes,2,11-12
Daksha Majumdar,48,Yes,Yes,4,10-11
Yashoda More,20,Yes,Yes,4,2-3
Arin Saraf,63,Yes,No,3,9-10
Zayyan Master,33,No,Yes,5,11-12
Balhaar Manne,65,No,Yes,3,3-4
Baljiwan Joshi,58,Yes,No,5,9-10
Utkarsh Buch,37,No,No,5,3-4
Ucchal Morar,42,No,Yes,5,9-10
Jason Ratti,66,No,No,5,9-10
Gaurangi Butala,63,Yes,No,5,9-10
Ishani Rana,69,No,Yes,4,11-12
Laksh Suri,60,No,No,5,11-12
Nathan Anne,67,Yes,No,1,10-11
Indali Raj,62,Yes,No,4,3-4
Ekbal Dyal,35,Yes,No,5,2-3
Avni Suri,19,Yes,Yes,3,3-4
Sanya Balan,18,Yes,Yes,5,3-4
Chameli Gupta,59,Yes,No,5,2-3
Rajata Shanker,28,No,No,4,9-10
Zilmil Nagi,68,Yes,No,5,1-2
Oscar Bumb,33,No,No,5,1-2
Deepa Buch,38,No,No,0,1-2
Hitesh Parikh,69,No,No,4,11-12
Isaac Mitra,20,No,Yes,5,10-11
Kritika Chaudhary,22,Yes,No,4,11-12
Isaac Mitra,20,No,Yes,5,10-11
Zaid Kalita,29,No,Yes,5,2-3
Eta Narain,21,No,No,5,12-1
Gaurika Dhawan,22,Yes,No,5,1-2
Balvan Handa,64,Yes,No,5,1-2
Inaya Agarwal,67,Yes,Yes,0,1-2
Kevin Swaminathan,54,No,No,5,10-11
Nandini Deo,61,Yes,Yes,0,4-5
Rudra Arya,68,Yes,No,3,10-11
Ishani Padmanabhan,70,Yes,No,4,12-1
Nidra Prasad,46,Yes,No,5,3-4
Gaurangi Butala,63,Yes,No,5,9-10
Mekhala Khatri,51,No,No,5,3-4
Om Bakshi,67,Yes,No,4,12-1
Radhika Mann,40,No,No,5,1-2
Ekantika Sandal,30,No,Yes,5,4-5
Leela Oommen,49,No,No,4,2-3
Varenya Shah,38,Yes,Yes,4,1-2
Geetika Nagarajan,21,Yes,Yes,5,4-5
Nidhi Lall,60,Yes,Yes,5,1-2
Lila Narula,27,Yes,Yes,4,2-3
Vaishnavi Gour,39,No,Yes,4,1-2
Varenya Sarma,37,No,No,3,12-1
Kevin Dyal,19,No,No,3,3-4
Umang Bora,40,No,No,5,11-12
Aradhana Vyas,63,Yes,Yes,4,4-5
Gabriel Gour,68,No,Yes,0,11-12
Sara Zachariah,62,Yes,Yes,3,11-12
Vrinda Dara,22,Yes,Yes,4,11-12
Teerth Kapur,55,No,Yes,5,12-1
Yashvi Bir,65,No,Yes,3,2-3
Aradhana Vyas,63,Yes,Yes,4,4-5
Abdul Saha,48,No,No,4,11-12
Jagvi Saha,70,Yes,No,5,12-1
Zarna Sodhi,61,No,Yes,1,3-4
Unni Bava,40,No,Yes,3,3-4
Ishani Rana,69,No,Yes,4,11-12
Yoshita Arora,66,No,Yes,3,2-3
Aachal Dara,65,No,No,1,11-12
Brinda Kota,47,Yes,Yes,4,1-2
Harini Devi,39,Yes,No,2,12-1
Hamsini Borde,60,Yes,Yes,5,12-1
Kabir Sha,37,Yes,No,5,2-3
Hardik Bhakta,35,No,No,5,4-5
Chavvi Bakshi,35,Yes,No,0,12-1
Yoshita Arora,66,No,Yes,3,2-3
Meera Zachariah,36,Yes,No,4,12-1
Harini Chand,31,Yes,Yes,4,1-2
Tristan Sant,42,No,Yes,5,3-4
Niharika Nori,50,Yes,No,5,1-2
Mekhala Magar,61,No,No,4,4-5
Anika Gopal,66,No,Yes,4,11-12
Gauri Sunder,24,No,Yes,4,11-12
Omya Raja,59,Yes,Yes,5,12-1
Devansh Bedi,37,No,No,5,11-12
Mitali Dutt,52,No,No,3,10-11
Advika Warrior,64,No,Yes,4,9-10
Vritti Vora,26,Yes,Yes,5,2-3
Megha Bhardwaj,62,No,No,2,10-11
Ekaja Behl,30,Yes,No,4,3-4
Yamini Kanda,68,Yes,Yes,0,9-10
Irya Thakkar,65,No,Yes,3,11-12
Radhika Mann,40,No,No,5,1-2
Turvi Gokhale,37,Yes,Yes,2,2-3
Ijaya Oak,47,No,No,4,1-2
Unni Kothari,29,Yes,Yes,3,1-2
Libni Rao,63,No,Yes,1,10-11
Gaurang Hegde,67,Yes,No,4,1-2
Rushil Bhargava,42,No,No,2,12-1
Shivansh Patel,42,Yes,No,4,12-1
Rohan Mishra,23,Yes,Yes,4,10-11
Nitara Varkey,48,Yes,No,4,9-10
Quincy Lanka,48,No,Yes,5,9-10
Abeer Chatterjee,51,Yes,Yes,3,12-1
Caleb Pathak,70,Yes,Yes,0,11-12
Gavin Wagle,64,Yes,Yes,1,10-11
Harini Chokshi,35,Yes,Yes,3,12-1
Amruta Wadhwa,36,Yes,No,5,4-5
Eta Narain,21,No,No,5,12-1
Ekaja Hayer,68,No,Yes,4,10-11
Advay Merchant,53,No,No,4,3-4
Sudiksha Bahri,50,No,No,3,3-4
Jatin De,51,Yes,Yes,5,11-12
Darpan Zacharia,65,Yes,Yes,1,4-5
Peter Narain,19,No,Yes,4,3-4
Harshil Varty,40,No,Yes,0,11-12
Pranav Vala,64,Yes,Yes,3,12-1
Ekani Baral,32,No,Yes,2,2-3
Gopal Sachar,38,Yes,Yes,5,3-4
Charita Minhas,69,Yes,Yes,3,2-3
Chaman Mall,56,No,No,2,2-3
Bhavna Tata,30,Yes,Yes,3,1-2
Harsh Shenoy,53,No,No,4,11-12
Yashawini Dugal,49,Yes,No,5,12-1
Anusha Varughese,31,No,Yes,4,11-12
Laksh Comar,63,No,No,5,4-5
Amol Shah,68,No,No,4,12-1
Yashawini Dugal,49,Yes,No,5,12-1
Jai Guha,38,Yes,Yes,0,4-5
Maya Bassi,52,No,Yes,3,9-10
Mahika Kothari,18,No,Yes,4,11-12
Laban Manda,23,Yes,Yes,0,4-5
Ekaraj Shere,32,No,No,1,4-5
Gaurika Narasimhan,48,No,Yes,5,12-1
Yatan Sant,65,No,Yes,5,4-5
Ojas Chaudry,18,No,Yes,2,9-10
Ekaja Randhawa,54,No,Yes,5,12-1
Ethan Bhatnagar,68,No,No,5,10-11
Dhriti Sharaf,27,No,No,3,9-10
Agastya Muni,27,No,No,4,4-5
Oni Sha,49,Yes,Yes,3,12-1
Mitali Buch,67,No,No,5,3-4
Atharv Bail,63,Yes,No,5,1-2
Ishita Ahuja,46,No,No,4,3-4
Samuel Ghose,27,Yes,Yes,4,3-4
Naveen Srinivas,28,No,Yes,4,10-11
Zinal Nagy,23,No,Yes,5,11-12
Amaira Roy,23,No,Yes,4,11-12
Warjas Kapadia,38,Yes,Yes,2,1-2
Bhavna Raj,18,Yes,Yes,2,3-4
Sarthak Walia,25,No,Yes,2,4-5
Anusha Chakrabarti,45,Yes,No,5,4-5
Sathvik Sami,56,Yes,No,5,11-12
Dominic Dave,51,Yes,No,3,10-11
Darpan Contractor,31,No,Yes,1,2-3
Tripti Garg,26,Yes,No,4,12-1
Gavin Parikh,62,Yes,No,2,11-12
Zehaan Sule,27,No,No,2,4-5
Jagdish Singh,47,No,No,5,3-4
Aarush Gandhi,45,Yes,No,4,4-5
Ansh Nayak,62,Yes,Yes,3,3-4
Gavin Parikh,62,Yes,No,2,11-12
Max Khurana,45,No,Yes,0,2-3
Henry Subramaniam,52,No,Yes,5,10-11
Harita Chaudhry,38,No,No,2,3-4
Gunbir Panchal,28,No,No,4,12-1
Watika Nayak,24,Yes,Yes,3,1-2
Neha Sinha,68,Yes,Yes,3,10-11
Zayan Kurian,48,No,Yes,5,9-10
Balveer Bains,32,No,Yes,4,2-3
Chakrika Kothari,36,Yes,Yes,3,3-4
Diya Mane,32,No,No,4,10-11
Chandran Sami,43,No,Yes,2,12-1
Mitali Bhandari,47,No,Yes,4,3-4
Dipta Gopal,24,No,No,2,10-11
Timothy Narang,34,Yes,Yes,4,9-10
Chaman Rao,51,Yes,No,5,2-3
Vinaya Sood,68,Yes,No,4,9-10
Dalaja Nayar,51,Yes,No,5,4-5
Ria Rajagopalan,44,Yes,Yes,3,10-11
Madhavi Oza,21,Yes,Yes,3,2-3
Sanaya Chawla,40,Yes,Yes,3,12-1
Zarna Pant,26,Yes,No,0,12-1
Zaitra Tiwari,67,Yes,No,4,3-4
Yutika Palla,52,Yes,No,0,4-5
Indrajit Dalal,61,No,Yes,2,12-1
Sai Kara,61,Yes,No,5,3-4
Vrinda Char,35,Yes,Yes,5,10-11
Zansi Bhatia,33,No,Yes,0,11-12
Ekbal Dyal,35,Yes,No,5,2-3
Laban Bahl,40,No,Yes,3,2-3
Balveer Bains,32,No,Yes,4,2-3
Chatresh Kant,62,No,Yes,3,10-11
Harini Anne,34,Yes,No,3,12-1
Pallavi Sunder,31,No,Yes,4,1-2
Imaran Keer,28,No,Yes,4,12-1
Anita Dar,53,Yes,Yes,5,9-10
Geetika Nadkarni,32,Yes,Yes,4,12-1
Chakrika Sha,29,Yes,No,5,10-11
Falguni Minhas,24,No,No,5,11-12
Geetika Dhillon,64,Yes,Yes,2,4-5
Rayaan Pathak,20,No,Yes,3,11-12
Pratyush Mitra,30,No,Yes,5,9-10
Harsh Mallick,59,No,Yes,4,2-3
Ubika Bains,43,No,Yes,4,1-2
Yahvi Banerjee,55,Yes,Yes,0,4-5
Ekapad Dubey,45,Yes,Yes,3,9-10
Ekaja Randhawa,54,No,Yes,5,12-1
Lakshit Dayal,28,No,No,4,12-1
Ethan Shan,23,Yes,No,4,2-3
Nidra Prasad,46,Yes,No,5,3-4
Jhalak Chaudhary,67,No,No,4,9-10
Yasti Modi,28,Yes,Yes,2,12-1
Guneet Sura,43,Yes,Yes,4,1-2
Janani Sidhu,54,No,Yes,4,4-5
Bhavya Char,40,Yes,No,2,10-11
Eshana Panchal,65,Yes,Yes,3,10-11
Ria Kala,61,No,Yes,5,12-1
Yutika Buch,53,Yes,No,4,3-4
Raagini Baral,66,No,Yes,5,11-12
Advika Mishra,22,No,Yes,3,1-2
Vivaan Subramaniam,35,No,No,4,4-5
David Kibe,30,No,No,0,1-2
Forum Khatri,27,No,Yes,4,2-3
Nitara Lalla,64,No,Yes,5,4-5
Naksh Balakrishnan,35,Yes,No,4,2-3
Ria Mander,67,No,No,4,12-1
Ekapad Dubey,45,Yes,Yes,3,9-10
Hardik Sengupta,50,Yes,No,2,11-12
Maanas Lal,69,No,Yes,4,3-4
Yashvi Bir,65,No,Yes,3,2-3
Gavin Sood,58,No,No,5,3-4
Ishanvi Narayan,40,No,No,3,9-10
Lajita Mody,46,No,Yes,1,9-10
Kavya Dua,56,No,Yes,2,11-12
Nakul Dara,52,No,No,5,4-5
Jagat Hans,64,No,No,4,1-2
Anika Shroff,57,No,Yes,3,12-1
Falan Pathak,25,No,Yes,5,10-11
Saksham Nagi,69,No,Yes,5,12-1
Falguni Shroff,66,No,Yes,5,10-11
Vaishnavi Soni,64,No,Yes,4,10-11
Nitesh Narang,59,No,Yes,0,9-10
Ria Iyengar,57,No,Yes,3,4-5
Owen Chada,47,Yes,No,4,11-12
Falan Balakrishnan,42,Yes,Yes,4,4-5
Jatin Sidhu,66,No,No,1,1-2
Nikita Sandhu,45,Yes,No,4,12-1
Naveen Kumar,40,Yes,Yes,1,9-10
Chameli Gupta,59,Yes,No,5,2-3
Advaith Dutt,36,No,No,5,9-10
Jeet Karan,29,No,Yes,5,11-12
Anjali Om,38,No,Yes,1,2-3
Reva Bir,36,No,No,5,9-10
